Port,Latitude,Longitude
 Monrovia ,-10.8000000000000,6.3000000000000
 Al Khums ,14.2666666666666,32.6500000000000
 Giurgiulesti ,28.1833333333333,45.4666666666666
 Bar ,19.0833333333333,42.0833333333333
 Ehoala ,46.9500000000000,-25.0666666666666
 Nosy-Be ,48.2500000000000,-13.3333333333333
 Thilawa ,96.2500000000000,16.6500000000000
 Thilawa ,96.2500000000000,16.6500000000000
 Marsaxlokk ,14.5333333333333,35.8333333333333
 Male ,73.5000000000000,4.1666666666667
 Penang (Georgetown) ,100.3166666666660,5.4166666666667
 Port Klang (Pelabuhan Klang) ,101.4000000000000,3.0000000000000
 Tanjung Pelepas ,103.5500000000000,1.3666666666667
 Lüderitz ,15.1666666666666,-26.6500000000000
 Lekki ,3.1000000000000,6.4500000000000
 Onne ,7.1500000000000,4.7166666666667
 Auckland ,174.8000000000000,-36.8333333333333
 Bluff ,168.3166666666660,-46.6000000000000
 Lyttelton ,172.7166666666660,-43.6000000000000
 Marsden Point ,174.5000000000000,-35.8333333333333
 Napier ,176.9000000000000,-39.4666666666666
 Nelson ,173.2666666666660,-41.2500000000000
 Port Chalmers ,170.6000000000000,-45.8166666666666
 Tauranga ,176.1666666666660,-37.6833333333333
 Timaru ,171.2500000000000,-44.3833333333333
 Wellington ,174.7833333333330,-41.2666666666666
 Colón ,-79.8666666666666,9.3500000000000
 Cristóbal ,-79.9000000000000,9.3500000000000
 Panamá Ciudad de ,-79.5333333333333,8.9666666666667
 Rodman ,-79.5666666666666,8.9500000000000
 Madang ,145.7833333333330,-5.2166666666667
 Motukea Island ,147.1000000000000,-9.4333333333333
 Batangas\/Luzon ,121.0500000000000,13.7500000000000
 General Santos ,125.1500000000000,6.1166666666667
 Tagoloan ,124.7500000000000,8.5333333333333
 Gdynia ,18.5500000000000,54.5000000000000
 Swinoujscie ,14.2500000000000,53.9000000000000
 Caniçal ,-16.7333333333333,32.7333333333333
 Figueira da Foz ,-8.8666666666667,40.1500000000000
 Horta ,-28.6333333333333,38.5333333333333
 Leixões ,-8.6833333333333,41.1833333333333
 Lisboa ,-9.1333333333333,38.7166666666666
 Pico ,-8.4166666666667,41.6833333333333
 Ponta Delgada ,-25.6666666666666,37.7333333333333
 Porto Santo Island ,-16.3333333333333,33.0666666666666
 Praia da Graciosa ,-27.9666666666666,39.0500000000000
 Praia da Vitória ,-27.0666666666666,38.7333333333333
 Santa Cruz das Flores ,-31.1166666666666,39.4500000000000
 Setúbal ,-8.9000000000000,38.5333333333333
 Sines ,-8.8666666666667,37.9500000000000
 Velas ,-28.2166666666666,38.6833333333333
 Vila do Porto ,-25.1500000000000,36.9333333333333
 BGN\/PCGN1956 - HAMAD ,51.6166666666666,25.0000000000000
 Mesaieed ,51.9166666666666,25.6333333333333
 Constanta ,28.6500000000000,44.1833333333333
 Lomonosov ,29.7333333333333,59.9000000000000
 Novorossiysk ,37.7666666666666,44.7166666666666
 Saint Petersburg (ex Leningrad) ,30.2500000000000,59.8833333333333
 Ust'-Luga ,28.3166666666666,59.6666666666666
 Vostochnyy Port ,133.0500000000000,42.7666666666666
 Zarubino ,131.0833333333330,42.6166666666666
 Ad Dammam ,50.1000000000000,26.4166666666666
 Jeddah ,39.1666666666666,21.5333333333333
 King Abdullah City ,39.0833333333333,22.4000000000000
 Yanbu al-Bahr ,38.0333333333333,24.0833333333333
 Bangkok ,100.5166666666660,13.7500000000000
 Laem Chabang ,100.8833333333330,13.0833333333333
 Phuket International Apt ,98.3166666666666,8.1166666666667
 Sahathai Coastal Seaport ,100.5333333333330,13.6500000000000
 Dili ,125.5666666666660,-8.5500000000000
 Nuku'alofa ,-175.2000000000000,-21.1333333333333
 Ambarli ,39.1666666666666,41.0333333333333
 Antalya ,30.6000000000000,36.8333333333333
 Bandirma ,27.9666666666666,40.3500000000000
 Eregli ,34.0500000000000,37.5000000000000
 Evyap Port \/Kocaeli ,29.7000000000000,40.7666666666666
 Gebze ,29.4166666666666,40.7833333333333
