,Country,Year, Quantity in Millions _x,Investment_Totals,Counts,Month,Chinese Entity, Quantity in Millions _y,Share size,Transaction Party,Sector,Subsector,Region,BRI,Iso_alpha,Investment_Count
155,Nepal,2014,320,2,11,January,Three Gorges,100,,,Energy,Hydro,West Asia,1,NPL,1
159,Nepal,2014,320,2,11,October,Sinomach,220,,,Transport,Aviation,West Asia,1,NPL,1
163,New Zealand,2014,1110,2,9,March,Beijing Capital,800,,Transpacific,Utilities,Unspecified,East Asia,1,NZL,1
164,New Zealand,2014,1110,2,9,November,Yili Industrial,310,,,Agriculture,Unspecified,East Asia,1,NZL,1
166,Nigeria,2014,4000,5,33,September,China Railway Construction,1210,,,Transport,Autos,Sub-Saharan Africa,1,NER,1
167,Nigeria,2014,4000,5,33,September,China Railway Construction,680,,,Transport,Aviation,Sub-Saharan Africa,1,NER,1
112,Pakistan,2014,10700,14,63,February,China Communications Construction,230,,,Transport,Aviation,West Asia,1,PAK,1
113,Pakistan,2014,10700,14,63,March,Shandong Ruyi,120,,,Other,Textiles,West Asia,1,PAK,1
114,Pakistan,2014,10700,14,63,March,Three Gorges,900,,,Energy,Hydro,West Asia,1,PAK,1
120,Pakistan,2014,10700,14,63,December,China National Nuclear,6500,,,Energy,Unspecified,West Asia,1,PAK,1
121,Pakistan,2014,10700,14,63,December,Sinomach,100,,Tenaga,Energy,Alternative,West Asia,1,PAK,1
122,Pakistan,2014,10700,14,63,November,China Energy Engineering,140,,,Transport,Autos,West Asia,1,PAK,1
128,Pakistan,2014,10700,14,63,September,Sinomach,1130,,Sindh Engro,Energy,Coal,West Asia,1,PAK,1
130,Pakistan,2014,10700,14,63,August,China National Chemical Engineering,240,,NRL,Energy,Oil,West Asia,1,PAK,1
131,Pakistan,2014,10700,14,63,August,Power Construction Corp,130,,,Energy,Alternative,West Asia,1,PAK,1
132,Pakistan,2014,10700,14,63,April,China Communications Construction,130,,,Transport,Shipping,West Asia,1,PAK,1
133,Pakistan,2014,10700,14,63,April,China Mobile,520,100%,Spectrum,Technology,Telecom,West Asia,1,PAK,1
134,Pakistan,2014,10700,14,63,March,China Communications Construction,220,,,Transport,Shipping,West Asia,1,PAK,1
139,Pakistan,2014,10700,14,63,January,Power Construction Corp,240,,,Energy,Hydro,West Asia,1,PAK,1
161,Papua New Guinea,2014,420,2,10,June,State Construction Engineering,250,,,Real estate,Construction,East Asia,1,PNG,1
158,Peru,2014,9880,2,14,April,"Minmetals, Suzhou Guoxin, CITIC",6990,"63, 22, 15%",Glencore,Metals,Copper,South America,1,PER,1
157,Philippines,2014,1210,2,21,May,Power Construction Corp,1000,,Ayala and Power Partners,Energy,Coal,East Asia,1,PHL,1
171,Philippines,2014,1210,2,21,January,Genertec,210,,,Energy,Coal,East Asia,1,PHL,1
68,Poland,2014,390,2,11,August,Ex-Im Bank,200,50%,,Energy,Alternative,Europe,1,PNH,1
63,Portugal,2014,3090,3,7,December,Haitong Securities,470,,Novo Banco,Finance,Investment,Europe,1,PUH,1
64,Portugal,2014,3090,3,7,January,Fosun,2030,80%,Caixa Geral,Finance,Unspecified,Europe,1,PAIXL,1
77,Portugal,2014,3090,3,7,October,Fosun,590,96%,Espirito Santo Saude,Health,Unspecified,Europe,1,PSPIE,1
59,Qatar,2014,560,3,10,June,China Communications Construction,170,,,Utilities,Unspecified,Arab Middle East and North Africa,1,QAT,1
60,Qatar,2014,560,3,10,September,Power Construction Corp,220,,,Utilities,Unspecified,Arab Middle East and North Africa,1,QAT,1
62,Qatar,2014,560,3,10,May,China Communications Construction,170,,,Transport,Shipping,Arab Middle East and North Africa,1,QAT,1
105,Romania,2014,810,2,2,September,Sinomach,270,,,Energy,Coal,Europe,1,OMN,1
82,Russian Federation,2014,7890,11,47,December,CNPC,940,20%,Novatek,Energy,Gas,West Asia,1,RUS,1
83,Russian Federation,2014,7890,11,47,November,Harbin Electric,450,100%,,Energy,Alternative,West Asia,1,RUS,1
84,Russian Federation,2014,7890,11,47,November,Power Construction Corp,1460,49%,RusHydro,Energy,Hydro,West Asia,1,RUS,1
87,Russian Federation,2014,7890,11,47,October,Lifan,290,100%,,Transport,Autos,West Asia,1,RUS,1
97,Russian Federation,2014,7890,11,47,September,CNPC,990,10%,Vankorneft,Energy,Oil,West Asia,1,RUS,1
99,Russian Federation,2014,7890,11,47,May,Sinoma,150,,Eurocement,Real estate,Construction,West Asia,1,RUS,1
100,Russian Federation,2014,7890,11,47,May,Sinomach,180,,Eurocement,Real estate,Construction,West Asia,1,RUS,1
102,Russian Federation,2014,7890,11,47,March,State Construction Engineering,710,,,Real estate,Construction,West Asia,1,RUS,1
173,Russian Federation,2014,7890,11,47,July,CNOOC,1640,,,Energy,Gas,West Asia,1,RUS,1
226,Saudi Arabia,2014,4880,7,42,November,China Railway Construction,1980,,,Real estate,Construction,Arab Middle East and North Africa,1,SAU,1
228,Saudi Arabia,2014,4880,7,42,May,China Communications Construction,500,,Aramco,Utilities,Unspecified,Arab Middle East and North Africa,1,SAU,1
229,Saudi Arabia,2014,4880,7,42,April,Sinopec,190,,Aramco,Energy,Oil,Arab Middle East and North Africa,1,SAU,1
232,Saudi Arabia,2014,4880,7,42,November,Power Construction Corp,100,,,Energy,Oil,Arab Middle East and North Africa,1,SAU,1
242,Saudi Arabia,2014,4880,7,42,February,China Communications Construction,200,,,Transport,Shipping,Arab Middle East and North Africa,1,SAU,1
197,Serbia,2014,970,1,22,November,Sinomach,970,,,Energy,Unspecified,Europe,1,SRB,1
218,Sierra Leone,2014,710,1,4,March,Tidfore Heavy,710,,,Transport,Shipping,Sub-Saharan Africa,1,SLE,1
211,Singapore,2014,2070,10,79,September,Shanghai Tunnel Engineering,270,,,Transport,Rail,East Asia,1,SGP,1
212,Singapore,2014,2070,10,79,August,MCC,380,,,Real estate,Property,East Asia,1,SGP,1
213,Singapore,2014,2070,10,79,July,Power Construction Corp,200,50%,Sembcorp,Transport,Rail,East Asia,1,SGP,1
214,Singapore,2014,2070,10,79,July,State Construction Engineering,190,,,Real estate,Construction,East Asia,1,SGP,1
215,Singapore,2014,2070,10,79,May,Shanghai Shentong,290,,,Transport,Rail,East Asia,1,SGP,1
216,Singapore,2014,2070,10,79,May,Alibaba,210,10%,Singapore Post,Logistics,Unspecified,East Asia,1,SGP,1
217,Singapore,2014,2070,10,79,February,"Bank of China, China Life, Hopu Investment",160,2%,Global Logistics Properties,Logistics,Unspecified,East Asia,1,SGP,1
222,Singapore,2014,2070,10,79,September,State Construction Engineering,100,,,Real estate,Construction,East Asia,1,SGP,1
55,South Africa,2014,340,2,7,November,Hebei Zhongbo Platinum,230,100%,Platinum Group Metal,Metals,Unspecified,Sub-Saharan Africa,1,ZAF,1
69,South Korea,2014,2580,3,15,February,Anhui Landing,1100,50%,Genting Singapore,Tourism,Unspecified,East Asia,1,KOR,1
150,South Korea,2014,2580,3,15,March,Tencent,500,28%,CJ Games,Entertainment,Unspecified,East Asia,1,KOR,1
71,South Sudan,2014,2200,2,4,December,Shandong Gaosu,2100,,,Transport,Autos,Sub-Saharan Africa,1,SSD,1
75,South Sudan,2014,2200,2,4,April,China Communications Construction,100,,,Agriculture,Unspecified,Sub-Saharan Africa,1,SSD,1
86,Sri Lanka,2014,3720,8,21,November,Sinomach,690,,,Agriculture,Unspecified,West Asia,1,LKA,1
88,Sri Lanka,2014,3720,8,21,September,State Construction Engineering,250,,,Transport,Autos,West Asia,1,LKA,1
103,Sri Lanka,2014,3720,8,21,September,"China Merchants, China Communications Construction",390,,,Logistics,Unspecified,West Asia,1,LKA,1
231,Sri Lanka,2014,3720,8,21,November,Genertec,600,,,Transport,Rail,West Asia,1,LKA,1
233,Sri Lanka,2014,3720,8,21,November,State Construction Engineering,420,,,Transport,Autos,West Asia,1,LKA,1
181,Sudan,2014,1450,1,1,January,China Railway Construction,1450,,,Transport,Rail,Arab Middle East and North Africa,1,SDN,1
189,Tanzania,2014,3170,7,22,February,China Communications Construction,200,,,Transport,Shipping,Sub-Saharan Africa,1,TZA,1
190,Tanzania,2014,3170,7,22,October,China Railway Engineering,990,,NHC,Real estate,Construction,Sub-Saharan Africa,1,TZA,1
191,Tanzania,2014,3170,7,22,October,Shanghai Construction,550,,,Real estate,Construction,Sub-Saharan Africa,1,TZA,1
66,Thailand,2014,1000,2,27,June,China Mobile,880,18%,True Corp,Technology,Telecom,East Asia,1,THA,1
67,Thailand,2014,1000,2,27,December,Sinomach,120,,Win Win Net,Technology,Telecom,East Asia,1,THA,1
