,Country,Year, Quantity in Millions _x,Investment_Totals,Counts,Month,Chinese Entity, Quantity in Millions _y,Share size,Transaction Party,Sector,Subsector,Region,BRI,Iso_alpha,Investment_Count
255,Laos,2015,4580,14,37,August,Power Construction Corp,210,,,Energy,Hydro,East Asia,1,LAO,1
256,Laos,2015,4580,14,37,October,Power Construction Corp,720,,Mega First Corp,Energy,Hydro,East Asia,1,LAO,1
257,Laos,2015,4580,14,37,November,Power Construction Corp,270,,Electricite du Laos,Energy,Hydro,East Asia,1,LAO,1
262,Laos,2015,4580,14,37,December,Yunnan Construction Engineering,100,75%,Saysettha Development Zone,Real estate,Construction,East Asia,1,LAO,1
265,Laos,2015,4580,14,37,December,Power Construction Corp,1190,,,Energy,Hydro,East Asia,1,LAO,1
281,Laos,2015,4580,14,37,December,State Grid,240,,,Utilities,Unspecified,East Asia,1,LAO,1
290,Laos,2015,4580,14,37,December,Yunnan Energy Investment,120,,,Real estate,Construction,East Asia,1,LAO,1
317,Laos,2015,4580,14,37,December,China Railway Engineering,350,,,Transport,Rail,East Asia,1,LAO,1
333,Luxembourg,2015,350,2,5,October,China Minsheng Investment,130,34%,Luxaviation,Transport,Aviation,Europe,1,LUX,1
340,Madagascar,2015,140,1,4,November,China Communications Construction,140,,,Transport,Autos,Sub-Saharan Africa,1,MDG,1
295,Malaysia,2015,14330,16,58,January,Shanghai Greenland,530,,,Real estate,Property,East Asia,1,MYS,1
296,Malaysia,2015,14330,16,58,January,State Construction Engineering,430,,,Real estate,Construction,East Asia,1,MYS,1
305,Malaysia,2015,14330,16,58,November,CNPC,180,40%,,Chemicals,Unspecified,East Asia,1,MYS,1
306,Malaysia,2015,14330,16,58,November,China General Nuclear,5960,100%,Edra,Energy,Unspecified,East Asia,1,MYS,1
307,Malaysia,2015,14330,16,58,October,China Communications Construction,550,,,Transport,Shipping,East Asia,1,MYS,1
312,Malaysia,2015,14330,16,58,March,Jinko Solar,100,100%,,Energy,Alternative,East Asia,1,MYS,1
313,Malaysia,2015,14330,16,58,May,Shanghai Auto,280,49%,Weststar Maxus,Transport,Autos,East Asia,1,MYS,1
314,Malaysia,2015,14330,16,58,July,State Construction Engineering,100,,,Real estate,Construction,East Asia,1,MYS,1
315,Malaysia,2015,14330,16,58,October,Nantong Fujitsu,370,85%,AMD,Technology,Unspecified,East Asia,1,MYS,1
271,Maldives,2015,730,3,6,November,China Communications Construction,140,,,Transport,Autos,West Asia,1,MDV,1
277,Maldives,2015,730,3,6,November,Sinomach,190,,,Real estate,Construction,West Asia,1,MDV,1
249,Mali,2015,1690,3,3,August,Sinoma,120,,Dangote,Real estate,Construction,Sub-Saharan Africa,1,MLI,1
269,Mali,2015,1690,3,3,November,China Railway Construction,1460,,,Transport,Rail,Sub-Saharan Africa,1,MLI,1
270,Mali,2015,1690,3,3,February,Sinomach,110,,,Energy,Unspecified,Sub-Saharan Africa,1,MLI,1
260,Mongolia,2015,3440,3,13,May,Zhongrun Resources,1940,,,Metals,Steel,East Asia,1,MNG,1
319,Mongolia,2015,3440,3,13,September,Power Construction Corp,510,,Firebird,Energy,Coal,East Asia,1,MNG,1
344,Mongolia,2015,3440,3,13,December,China National Nuclear,990,,,Energy,Coal,East Asia,1,MNG,1
297,Mozambique,2015,1730,5,7,April,"State Construction Engineering, Anhui Foreign Economic Construction",410,,,Transport,Autos,Sub-Saharan Africa,1,MOZ,1
308,Mozambique,2015,1730,5,7,September,China Communications Construction,120,,,Agriculture,Unspecified,Sub-Saharan Africa,1,MOZ,1
309,Mozambique,2015,1730,5,7,July,China Communications Construction,190,,,Energy,Unspecified,Sub-Saharan Africa,1,MOZ,1
341,Namibia,2015,3040,5,7,October,"Shanxi Building Material, Asian and African Business Management",270,,,Real estate,Construction,Sub-Saharan Africa,1,NAM,1
334,Nepal,2015,970,5,11,November,China Railway Engineering,110,,,Agriculture,Unspecified,West Asia,1,NPL,1
335,Nepal,2015,970,5,11,August,Sinoma,290,,Dangote,Real estate,Construction,West Asia,1,NPL,1
336,Nepal,2015,970,5,11,July,Hongshi,250,70%,Shiva Cement,Real estate,Construction,West Asia,1,NPL,1
329,New Zealand,2015,1310,3,9,September,Bright Foods,200,50%,Silver Fern Farms,Agriculture,Unspecified,East Asia,1,NZL,1
328,Niger,2015,140,1,4,August,Sinoma,140,,Dangote,Real estate,Construction,Sub-Saharan Africa,1,NER,1
321,Nigeria,2015,5570,8,33,October,Power Construction Corp,580,,,Energy,Unspecified,Sub-Saharan Africa,1,NER,1
322,Nigeria,2015,5570,8,33,October,Sinoma,390,,Ibeto Cement,Real estate,Construction,Sub-Saharan Africa,1,NER,1
323,Nigeria,2015,5570,8,33,September,Sinoma,600,,BUA,Real estate,Construction,Sub-Saharan Africa,1,NER,1
261,Oman,2015,300,1,9,June,Sinolight,300,,Oman Sugar,Agriculture,Unspecified,Arab Middle East and North Africa,1,OMN,1
345,Pakistan,2015,23510,27,63,August,Power Construction Corp,120,,,Energy,Alternative,West Asia,1,PAK,1
430,Pakistan,2015,23510,27,63,October,Sinomach,150,35%,Engo,Energy,Unspecified,West Asia,1,PAK,1
433,Pakistan,2015,23510,27,63,December,China Railway Construction,1460,,Zahir Khan and Brothers Engineers and Constructors,Transport,Autos,West Asia,1,PAK,1
445,Pakistan,2015,23510,27,63,December,State Construction Engineering,2890,,,Transport,Autos,West Asia,1,PAK,1
446,Pakistan,2015,23510,27,63,December,Power Construction Corp,100,,,Energy,Alternative,West Asia,1,PAK,1
447,Pakistan,2015,23510,27,63,September,Harbin Electric,1100,,,Energy,Gas,West Asia,1,PAK,1
448,Pakistan,2015,23510,27,63,August,ZTE,460,100%,,Energy,Alternative,West Asia,1,PAK,1
449,Pakistan,2015,23510,27,63,November,"Zhuhai Port Holdings, State Construction Engineering",1620,,,Transport,Shipping,West Asia,1,PAK,1
451,Pakistan,2015,23510,27,63,March,"China Railway Construction, China Energy Engineering",160,,,Transport,Autos,West Asia,1,PAK,1
452,Pakistan,2015,23510,27,63,July,Huaneng Power,1810,100%,Sahiwal Coal-Fired Power Station,Energy,Coal,West Asia,1,PAK,1
457,Pakistan,2015,23510,27,63,March,China Energy Engineering,250,,United Energy,Energy,Alternative,West Asia,1,PAK,1
460,Pakistan,2015,23510,27,63,April,Power Construction Corp,1070,51%,Al Mirqab Capital,Energy,Coal,West Asia,1,PAK,1
465,Pakistan,2015,23510,27,63,June,"China Railway Corp, Norinco",1620,,,Transport,Rail,West Asia,1,PAK,1
441,Panama,2015,140,1,7,August,State Construction Engineering,140,,,Real estate,Construction,North America,1,PMH,1
436,Papua New Guinea,2015,820,4,10,August,China Communications Construction,100,,,Transport,Autos,East Asia,1,PNG,1
438,Papua New Guinea,2015,820,4,10,May,Zijin Mining,300,50%,Barrick Niugini,Metals,Unspecified,East Asia,1,PNG,1
406,Poland,2015,730,3,11,December,Three Gorges,340,49%,EDP,Energy,Alternative,Europe,1,PNH,1
368,Portugal,2015,3680,4,7,December,"SAFE, China Reform Holdings",590,5%,Energias de Portugal,Energy,Unspecified,Europe,1,HRV,1
372,Qatar,2015,1740,4,10,November,Power Construction Corp,1180,,,Utilities,Unspecified,Arab Middle East and North Africa,1,QAT,1
347,Russian Federation,2015,14730,21,47,December,Highland Fund,100,13%,Norilsk Nickel,Metals,Unspecified,West Asia,1,RUS,1
354,Russian Federation,2015,14730,21,47,December,Sinopec,1340,10%,Sibur,Energy,Gas,West Asia,1,RUS,1
364,Russian Federation,2015,14730,21,47,October,Sinomach,1780,,Siberian Wood,Other,Timber,West Asia,1,RUS,1
365,Russian Federation,2015,14730,21,47,September,SAFE,1210,10%,Novatek,Energy,Gas,West Asia,1,RUS,1
366,Russian Federation,2015,14730,21,47,August,Anhui Conch,310,100%,,Real estate,Construction,West Asia,1,RUS,1
379,Russian Federation,2015,14730,21,47,April,Cybernaut,100,,Skolkovo Foundation,Technology,Unspecified,West Asia,1,RUS,1
380,Russian Federation,2015,14730,21,47,May,Great Wall Motor,510,,,Transport,Autos,West Asia,1,RUS,1
381,Russian Federation,2015,14730,21,47,May,Sinosteel,670,,Chek-Su. VK.,Metals,Steel,West Asia,1,RUS,1
382,Russian Federation,2015,14730,21,47,June,ZOJE Resources,440,,,Agriculture,Unspecified,West Asia,1,RUS,1
383,Russian Federation,2015,14730,21,47,June,China Railway Engineering,380,,JSC Russian Railways,Transport,Rail,West Asia,1,RUS,1
359,Rwanda,2015,460,2,6,May,CITIC,120,80%,International Finance Corporation,Real estate,Property,Sub-Saharan Africa,1,RWA,1
360,Rwanda,2015,460,2,6,November,"Sinopec, Jiangxi Water",340,,,Energy,Hydro,Sub-Saharan Africa,1,RWA,1
362,Saudi Arabia,2015,8190,14,42,April,Sinopec,450,,,Chemicals,Unspecified,Arab Middle East and North Africa,1,SAU,1
384,Saudi Arabia,2015,8190,14,42,April,China National Building Material,100,,Arabian Cement,Real estate,Construction,Arab Middle East and North Africa,1,SAU,1
385,Saudi Arabia,2015,8190,14,42,June,Sinopec,140,,,Energy,Oil,Arab Middle East and North Africa,1,SAU,1
412,Saudi Arabia,2015,8190,14,42,October,Power Construction Corp,700,,Aramco,Energy,Gas,Arab Middle East and North Africa,1,SAU,1
415,Saudi Arabia,2015,8190,14,42,October,Power Construction Corp,1290,,Aramco,Energy,Gas,Arab Middle East and North Africa,1,SAU,1
416,Saudi Arabia,2015,8190,14,42,December,Sinopec,430,,,Utilities,Unspecified,Arab Middle East and North Africa,1,SAU,1
417,Saudi Arabia,2015,8190,14,42,December,Sinopec,200,,,Agriculture,Unspecified,Arab Middle East and North Africa,1,SAU,1
422,Senegal,2015,1830,2,6,August,Western Power,570,,Africa Energy,Energy,Unspecified,Sub-Saharan Africa,1,SEN,1
423,Senegal,2015,1830,2,6,December,China Railway Construction,1260,,,Transport,Rail,Sub-Saharan Africa,1,SEN,1
392,Sierra Leone,2015,1480,2,4,April,Shandong Iron,770,75%,African Minerals,Metals,Steel,Sub-Saharan Africa,1,SLE,1
393,Singapore,2015,6650,18,79,January,"Jiangsu Changjiang, Semiconductor Manufacturing International, IC Fund",1660,100%,STATS ChipPAC,Technology,Unspecified,East Asia,1,SGP,1
394,Singapore,2015,6650,18,79,March,CITIC,730,55%,United Envirotech,Utilities,Unspecified,East Asia,1,SGP,1
395,Singapore,2015,6650,18,79,May,MCC,230,,,Real estate,Property,East Asia,1,SGP,1
396,Singapore,2015,6650,18,79,June,China Minsheng Investment,1500,,,Finance,Investment,East Asia,1,SGP,1
397,Singapore,2015,6650,18,79,July,Alibaba,150,,Singapore Post,Logistics,Unspecified,East Asia,1,SGP,1
398,Singapore,2015,6650,18,79,October,"CIC, Didi Kuaidi",100,,Grab Taxi,Transport,Autos,East Asia,1,SGP,1
399,Singapore,2015,6650,18,79,December,China Communications Construction,100,100%,,Real estate,Property,East Asia,1,SGP,1
400,Singapore,2015,6650,18,79,December,State Construction Engineering,110,,,Real estate,Construction,East Asia,1,SGP,1
278,South Africa,2015,830,4,7,December,Qingdao Hengshun,110,34%,Coal of Africa,Energy,Coal,Sub-Saharan Africa,1,ZAF,1
324,South Africa,2015,830,4,7,March,Guodian,380,,,Energy,Alternative,Sub-Saharan Africa,1,ZAF,1
258,South Korea,2015,7240,7,15,October,China Mobile,280,40%,KT Net,Technology,Telecom,East Asia,1,KOR,1
325,South Korea,2015,7240,7,15,May,Jumei,130,,It's Skin,Other,Consumer,East Asia,1,KOR,1
326,South Korea,2015,7240,7,15,February,Anbang,1030,63%,Tong Yang Life,Finance,Unspecified,East Asia,1,KOR,1
327,South Korea,2015,7240,7,15,January,Shanghai Greenland,3220,,,Real estate,Property,East Asia,1,KOR,1
429,South Sudan,2015,2580,3,4,October,Sinosteel,380,,Sudar,Energy,Oil,Sub-Saharan Africa,1,SSD,1
390,Sri Lanka,2015,4230,11,21,December,Sino Great Wall,250,,PDI Global,Real estate,Construction,West Asia,1,LKA,1
391,Sri Lanka,2015,4230,11,21,June,Genertec,100,,,Utilities,Unspecified,West Asia,1,LKA,1
411,Sri Lanka,2015,4230,11,21,April,State Construction Engineering,160,,,Real estate,Construction,West Asia,1,LKA,1
358,Tanzania,2015,7270,9,22,June,China Railway Engineering,1400,,,Transport,Rail,Sub-Saharan Africa,1,TZA,1
361,Tanzania,2015,7270,9,22,May,Sichuan Hanlong,2700,,,Metals,Unspecified,Sub-Saharan Africa,1,TZA,1
367,Thailand,2015,2430,8,27,February,Qingdao Sentury,400,,,Transport,Autos,East Asia,1,THA,1
427,Thailand,2015,2430,8,27,May,Trina Solar,160,100%,,Energy,Alternative,East Asia,1,THA,1
431,Thailand,2015,2430,8,27,May,Sinopec,220,,IRPC,Chemicals,Unspecified,East Asia,1,THA,1
462,Thailand,2015,2430,8,27,July,China Western Power Industrial,180,,Sermsappaisal,Energy,Alternative,East Asia,1,THA,1
463,Thailand,2015,2430,8,27,September,Power Construction Corp,170,,,Energy,Alternative,East Asia,1,THA,1
464,Thailand,2015,2430,8,27,December,Zhongli,300,,,Energy,Alternative,East Asia,1,THA,1
444,Timor-Leste,2015,290,1,2,February,China Railway Engineering,290,,,Transport,Autos,East Asia,1,TLS,1
259,Trinidad-Tobago,2015,330,2,5,May,China Railway Construction,230,,,Health,Unspecified,North America,1,THI,1
263,Turkey,2015,1880,5,12,February,Sinomach,380,75%,OEDAS and OEPSAS,Energy,Unspecified,West Asia,1,TUR,1
264,Turkey,2015,1880,5,12,May,Sinoma,160,,Limak Holdings,Real estate,Construction,West Asia,1,TUR,1
292,Turkey,2015,1880,5,12,May,Sinoma,100,,Votorantim Cimento,Real estate,Construction,West Asia,1,TUR,1
320,Turkey,2015,1880,5,12,September,"China Merchants, CIC, China Ocean Shipping",920,65%,Fina Liman,Logistics,Unspecified,West Asia,1,TUR,1
251,UAE,2015,1400,8,56,July,State Construction Engineering,130,,Damac Crescent,Tourism,Unspecified,Arab Middle East and North Africa,1,ARE,1
252,UAE,2015,1400,8,56,October,State Construction Engineering,130,,,Transport,Autos,Arab Middle East and North Africa,1,ARE,1
342,UAE,2015,1400,8,56,May,CNPC,330,,ADNOC,Energy,Oil,Arab Middle East and North Africa,1,ARE,1
343,UAE,2015,1400,8,56,February,State Construction Engineering,170,,Arenco,Tourism,Unspecified,Arab Middle East and North Africa,1,ARE,1
310,Uganda,2015,1120,3,8,April,China Communications Construction,200,,,Transport,Aviation,Sub-Saharan Africa,1,UGA,1
346,Venezuela,2015,5940,6,10,January,China Energy Engineering,1620,,,Energy,Unspecified,South America,1,VEN,1
461,Venezuela,2015,5940,6,10,April,Power Construction Corp,1500,,PDVSA,Energy,Coal,South America,1,VEN,1
434,Vietnam,2015,4600,6,27,July,China Energy Engineering,1310,70%,JAKS Resources,Energy,Coal,East Asia,1,VNM,1
435,Vietnam,2015,4600,6,27,July,"Southern Power, State Power Investment",1760,"55%, 40%",Vinacomin,Energy,Coal,East Asia,1,VNM,1
437,Vietnam,2015,4600,6,27,November,China Railway Engineering,260,,,Transport,Rail,East Asia,1,VNM,1
443,Vietnam,2015,4600,6,27,December,Sailun Tire,190,,,Transport,Autos,East Asia,1,VNM,1
352,Zambia,2015,3630,8,28,August,Sinoma,140,,Dangote,Real estate,Construction,Sub-Saharan Africa,1,ZMB,1
353,Zambia,2015,3630,8,28,September,China Henan International Cooperation,280,,,Transport,Autos,Sub-Saharan Africa,1,ZMB,1
355,Zambia,2015,3630,8,28,October,Sinoma,500,100%,,Real estate,Construction,Sub-Saharan Africa,1,ZMB,1
356,Zambia,2015,3630,8,28,December,Power Construction Corp,170,,,Energy,Unspecified,Sub-Saharan Africa,1,ZMB,1
357,Zambia,2015,3630,8,28,December,Sinohydro,2010,,Zesco,Energy,Hydro,Sub-Saharan Africa,1,ZMB,1
363,Zambia,2015,3630,8,28,October,AVIC,320,,,Real estate,Construction,Sub-Saharan Africa,1,ZMB,1
388,Zimbabwe,2015,4090,6,16,October,Zhejiang Chint,100,,,Energy,Alternative,Sub-Saharan Africa,1,ZWE,1
389,Zimbabwe,2015,4090,6,16,December,MCC,180,,Zimbabwe Power,Energy,Alternative,Sub-Saharan Africa,1,ZWE,1
405,Zimbabwe,2015,4090,6,16,July,State Construction Engineering,1100,,,Energy,Coal,Sub-Saharan Africa,1,ZWE,1
407,Zimbabwe,2015,4090,6,16,April,China Railway Construction,1930,,,Real estate,Construction,Sub-Saharan Africa,1,ZWE,1
672,Algeria,2016,7580,15,19,January,"State Construction Engineering, China Communications Construction",1720,49%,Algeria Harbour Group,Transport,Shipping,Arab Middle East and North Africa,1,DZA,1
673,Algeria,2016,7580,15,19,April,Minmetals,110,,,Real estate,Construction,Arab Middle East and North Africa,1,DZA,1
674,Algeria,2016,7580,15,19,May,China National Building Material,230,,Zahana,Real estate,Construction,Arab Middle East and North Africa,1,DZA,1
678,Algeria,2016,7580,15,19,June,Sinosteel,260,,Tosyali,Metals,Steel,Arab Middle East and North Africa,1,DZA,1
679,Algeria,2016,7580,15,19,July,Sinosteel,160,,AQS,Metals,Steel,Arab Middle East and North Africa,1,DZA,1
685,Algeria,2016,7580,15,19,November,CNPC,410,,Sonatrach,Energy,Oil,Arab Middle East and North Africa,1,DZA,1
686,Algeria,2016,7580,15,19,November,Minmetals,460,,ThyssenKrupp,Real estate,Construction,Arab Middle East and North Africa,1,DZA,1
650,Angola,2016,6000,13,20,August,China Communications Construction,440,,,Transport,Shipping,Sub-Saharan Africa,1,AGO,1
651,Angola,2016,6000,13,20,August,China Railway Engineering,130,,,Real estate,Construction,Sub-Saharan Africa,1,AGO,1
652,Angola,2016,6000,13,20,December,Power Construction Corp,360,,EPAL,Utilities,Unspecified,Sub-Saharan Africa,1,AGO,1
653,Angola,2016,6000,13,20,December,China Railway Construction,190,,,Transport,Aviation,Sub-Saharan Africa,1,AGO,1
658,Angola,2016,6000,13,20,June,Power Construction Corp,680,,,Utilities,Unspecified,Sub-Saharan Africa,1,AGO,1
669,Angola,2016,6000,13,20,June,China Railway Construction,120,,,Utilities,Unspecified,Sub-Saharan Africa,1,AGO,1
670,Angola,2016,6000,13,20,June,Sinomach,400,,,Energy,Unspecified,Sub-Saharan Africa,1,AGO,1
671,Angola,2016,6000,13,20,May,China Communications Construction,350,,,Transport,Autos,Sub-Saharan Africa,1,AGO,1
687,Angola,2016,6000,13,20,February,China Communications Construction,830,,Caio Porto,Transport,Shipping,Sub-Saharan Africa,1,AGO,1
610,Bangladesh,2016,10470,17,45,December,Chongqing Foreign Trade and Economy Corporation,140,,,Utilities,Unspecified,West Asia,1,BDG,1
611,Bangladesh,2016,10470,17,45,December,Power Construction Corp,280,,Sembcorp,Energy,Unspecified,West Asia,1,BDG,1
630,Bangladesh,2016,10470,17,45,December,"China Communications Construction, State Construction Engineering",390,,,Transport,Shipping,West Asia,1,BDG,1
647,Bangladesh,2016,10470,17,45,October,"Jiangsu Yongding, Sinomach",1140,,,Energy,Unspecified,West Asia,1,BDG,1
649,Bangladesh,2016,10470,17,45,October,Tebian Electric Apparatus,1660,,Dhaka Power,Energy,Unspecified,West Asia,1,BDG,1
667,Bangladesh,2016,10470,17,45,October,CNPC,690,,,Energy,Oil,West Asia,1,BDG,1
695,Bangladesh,2016,10470,17,45,February,Power Construction Corp,110,,,Energy,Oil,West Asia,1,BDG,1
697,Bangladesh,2016,10470,17,45,March,Genertec,780,50%,North-West Power Generation,Energy,Coal,West Asia,1,BDG,1
698,Bangladesh,2016,10470,17,45,March,China Energy Engineering,780,50%,Genertec and North-West Power Generation,Energy,Coal,West Asia,1,BDG,1
703,Bangladesh,2016,10470,17,45,April,China Energy Engineering,220,,,Energy,Unspecified,West Asia,1,BDG,1
704,Bangladesh,2016,10470,17,45,May,Sinomach,100,,,Energy,Oil,West Asia,1,BDG,1
603,Belarus,2016,1790,5,6,November,CITIC,850,,,Agriculture,Unspecified,Europe,1,BLR,1
598,Bolivia,2016,3670,11,17,November,China Communications Construction,190,,,Transport,Autos,South America,1,BOL,1
599,Bolivia,2016,3670,11,17,September,Three Gorges,990,,,Energy,Hydro,South America,1,BOL,1
600,Bolivia,2016,3670,11,17,April,Beijing Urban Construction,300,,,Transport,Aviation,South America,1,BOL,1
601,Bolivia,2016,3670,11,17,January,Power Construction Corp,430,,,Transport,Autos,South America,1,BOL,1
592,Cambodia,2016,1860,9,30,October,Sinomach,120,,,Energy,Unspecified,East Asia,1,KHM,1
593,Cambodia,2016,1860,9,30,June,Anhui Conch,120,,Battambang Cement,Real estate,Construction,East Asia,1,KHM,1
594,Cambodia,2016,1860,9,30,April,Guangdong Heng Fu,360,100%,,Agriculture,Unspecified,East Asia,1,KHM,1
595,Cambodia,2016,1860,9,30,March,Sinomach,100,,,Energy,Unspecified,East Asia,1,KHM,1
636,Cameroon,2016,2580,7,10,September,China Communications Construction,120,,,Real estate,Construction,Sub-Saharan Africa,1,CMR,1
637,Cameroon,2016,2580,7,10,January,Power Construction Corp,300,,,Energy,Hydro,Sub-Saharan Africa,1,CMR,1
633,Cape Verde,2016,130,1,1,October,State Development and Investment Corp,130,,,Tourism,Unspecified,Sub-Saharan Africa,1,CPV,1
632,Chad,2016,240,2,3,September,CEFC,110,35%,Taiwan Petroleum Corp,Energy,Oil,Sub-Saharan Africa,1,TCD,1
631,Chile,2016,350,2,9,November,State Power Investment,140,,,Energy,Alternative,South America,1,CHL,1
646,Chile,2016,350,2,9,September,Chengdu Tianqi,210,2%,Sociedad Quimica y Minera,Metals,Unspecified,South America,1,CHL,1
628,Congo,2016,6490,11,12,July,Sino Great Wall,300,,Banque Congolaise de l'Habitat,Real estate,Construction,Sub-Saharan Africa,1,COG,1
629,Congo,2016,6490,11,12,February,China Communications Construction,2300,,,Transport,Shipping,Sub-Saharan Africa,1,COG,1
627,Czech Republic,2016,510,3,4,November,CEFC,310,,Penta,Real estate,Property,Europe,1,CZE,1
619,Ecuador,2016,3670,9,12,November,China Railway Engineering,100,,,Health,Unspecified,South America,1,ECU,1
620,Ecuador,2016,3670,9,12,June,Three Gorges,110,,,Utilities,Unspecified,South America,1,ECU,1
625,Ecuador,2016,3670,9,12,March,China Communications Construction,520,,,Transport,Autos,South America,1,ECU,1
626,Ecuador,2016,3670,9,12,February,Power Construction Corp,100,,,Health,Unspecified,South America,1,ECU,1
617,Egypt,2016,4120,6,17,June,Sinoma,1190,,,Real estate,Construction,Arab Middle East and North Africa,1,EGY,1
618,Egypt,2016,4120,6,17,March,"State Grid, Power Construction Corp",780,,,Energy,Unspecified,Arab Middle East and North Africa,1,EGY,1
585,Ethiopia,2016,8030,20,37,August,State Grid,540,,,Energy,Unspecified,Sub-Saharan Africa,1,ETH,1
587,Ethiopia,2016,8030,20,37,August,Sinopec,220,,,Real estate,Construction,Sub-Saharan Africa,1,ETH,1
591,Ethiopia,2016,8030,20,37,December,State Development and Investment Corp,450,,,Chemicals,Unspecified,Sub-Saharan Africa,1,ETH,1
612,Ethiopia,2016,8030,20,37,July,China Railway Construction,250,,,Other,Textiles,Sub-Saharan Africa,1,ETH,1
613,Ethiopia,2016,8030,20,37,May,China Railway Construction,100,,,Other,Industry,Sub-Saharan Africa,1,ETH,1
634,Ethiopia,2016,8030,20,37,February,State Construction Engineering,160,,,Entertainment,Unspecified,Sub-Saharan Africa,1,ETH,1
635,Ethiopia,2016,8030,20,37,March,Sinochem,250,,Tigray Rehabilitation Fund,Chemicals,Unspecified,Sub-Saharan Africa,1,ETH,1
643,Ethiopia,2016,8030,20,37,March,"China Light, Jiangxi Jianglian",650,,Ethiopian Sugar,Agriculture,Unspecified,Sub-Saharan Africa,1,ETH,1
644,Ethiopia,2016,8030,20,37,April,Jiangsu Sunshine,350,100%,,Other,Textiles,Sub-Saharan Africa,1,ETH,1
694,Georgia,2016,260,2,5,September,China National Chemical Engineering,160,,Georgian Oil and Gas,Energy,Gas,West Asia,1,GEO,1
691,Ghana,2016,3710,10,19,November,Sinomach,230,,Wuta,Energy,Gas,Sub-Saharan Africa,1,GHA,1
692,Ghana,2016,3710,10,19,September,China Energy Engineering,550,,Modern Power Solutions,Energy,Oil,Sub-Saharan Africa,1,GHA,1
696,Ghana,2016,3710,10,19,August,China Communications Construction,480,,,Logistics,Unspecified,Sub-Saharan Africa,1,GHA,1
664,Greece,2016,970,3,8,December,Fosun,200,,Lamda,Transport,Aviation,Europe,1,GRC,1
665,Greece,2016,970,3,8,October,State Grid,350,24%,Public Power,Energy,Unspecified,Europe,1,GRC,1
666,Greece,2016,970,3,8,August,China Ocean Shipping,420,51%,,Transport,Shipping,Europe,1,GRC,1
662,Guinea,2016,5350,6,15,October,China Communications Construction,770,,,Transport,Shipping,Sub-Saharan Africa,1,GIN,1
582,Indonesia,2016,15880,32,76,November,China National Chemical Engineering,890,,Sumber Segara Primadaya,Energy,Unspecified,East Asia,1,IDN,1
586,Indonesia,2016,15880,32,76,October,Power Construction Corp,250,70%,PLN,Energy,Coal,East Asia,1,IDN,1
654,Indonesia,2016,15880,32,76,March,State Construction Engineering,300,,,Real estate,Construction,East Asia,1,IDN,1
675,Indonesia,2016,15880,32,76,December,Harbin Electric,1470,,Malaysia's YTL,Energy,Coal,East Asia,1,IDN,1
676,Indonesia,2016,15880,32,76,December,China National Building Material,170,,PT Semen Baturaja Persero,Real estate,Construction,East Asia,1,IDN,1
677,Indonesia,2016,15880,32,76,August,Sino Great Wall,230,,PT Wanxiang Nickel,Metals,Unspecified,East Asia,1,IDN,1
688,Indonesia,2016,15880,32,76,June,Sinosteel,140,,BOSOWA,Energy,Coal,East Asia,1,IDN,1
689,Indonesia,2016,15880,32,76,May,SDIC,120,40%,,Energy,Coal,East Asia,1,IDN,1
690,Indonesia,2016,15880,32,76,May,Qianhai Zone Authority,200,,,Transport,Shipping,East Asia,1,IDN,1
604,Iran,2016,4870,9,17,May,China Energy Engineering,1960,,,Utilities,Unspecified,West Asia,1,IRN,1
616,Iran,2016,4870,9,17,January,Norinco,330,,Golbahar New Town Development,Transport,Rail,West Asia,1,IRN,1
642,Iran,2016,4870,9,17,January,Sinosteel,470,,Bafgh Kasra,Metals,Steel,West Asia,1,IRN,1
693,Iran,2016,4870,9,17,November,CNPC,600,30%,Total,Energy,Gas,West Asia,1,IRN,1
621,Iraq,2016,5270,12,26,February,CNPC,270,,,Utilities,Unspecified,Arab Middle East and North Africa,1,IRQ,1
622,Iraq,2016,5270,12,26,October,Sinomach,1010,,Kar Electrical,Energy,Gas,Arab Middle East and North Africa,1,IRQ,1
623,Iraq,2016,5270,12,26,October,Sinomach,240,,Kar Group,Real estate,Construction,Arab Middle East and North Africa,1,IRQ,1
624,Iraq,2016,5270,12,26,November,CNPC,280,,,Energy,Gas,Arab Middle East and North Africa,1,IRQ,1
583,Israel,2016,8920,8,14,December,Huawei,150,,Toga Networks,Technology,Telecom,Arab Middle East and North Africa,1,ISR,1
614,Israel,2016,8920,8,14,July,Alpha Frontier,4400,,Playtika,Entertainment,Unspecified,Arab Middle East and North Africa,1,ISR,1
615,Israel,2016,8920,8,14,July,ChemChina,1400,40%,Adama Agricultural Solutions,Agriculture,Unspecified,Arab Middle East and North Africa,1,ISR,1
645,Israel,2016,8920,8,14,April,Power Construction Corp,260,,Tahal,Energy,Hydro,Arab Middle East and North Africa,1,ISR,1
588,Italy,2016,20150,19,24,June,Suning,310,69%,Inter Milan,Entertainment,Unspecified,Europe,1,INTEN,1
589,Italy,2016,20150,19,24,October,China Ocean Shipping,150,40%,Maersk,Transport,Shipping,Europe,1,ITA,1
590,Italy,2016,20150,19,24,December,Gansu Gangtai,240,85%,Buccellati,Other,Consumer,Europe,1,IYH,1
597,Italy,2016,20150,19,24,December,ZTE,1010,,,Technology,Telecom,Europe,1,ITA,1
602,Ivory Coast,2016,410,1,10,August,China Energy Engineering,410,,Starenergie 2073,Energy,Gas,Sub-Saharan Africa,1,CIV,1
