Port,Longitude,Latitude
 Tagoloan ,8.533333333,124.75
 Gdynia ,54.5,18.55
 Swinoujscie ,53.9,14.25
 Caniçal ,32.73333333,-16.73333333
 Figueira da Foz ,40.15,-8.866666667
 Horta ,38.53333333,-28.63333333
 Leixões ,41.18333333,-8.683333333
 Lisboa ,38.71666667,-9.133333333
 Pico ,41.68333333,-8.416666667
 Ponta Delgada ,37.73333333,-25.66666667
 Porto Santo Island ,33.06666667,-16.33333333
 Praia da Graciosa ,39.05,-27.96666667
 Praia da Vitória ,38.73333333,-27.06666667
 Santa Cruz das Flores ,39.45,-31.11666667
 Setúbal ,38.53333333,-8.9
 Sines ,37.95,-8.866666667
 Velas ,38.68333333,-28.21666667
 Vila do Porto ,36.93333333,-25.15
 BGN\/PCGN1956 - HAMAD ,25,51.61666667
 Mesaieed ,25.63333333,51.91666667
 Constanta ,44.18333333,28.65
 Lomonosov ,59.9,29.73333333
 Novorossiysk ,44.71666667,37.76666667
 Saint Petersburg (ex Leningrad) ,59.88333333,30.25
 Ust'-Luga ,59.66666667,28.31666667
 Vostochnyy Port ,42.76666667,133.05
 Zarubino ,42.61666667,131.0833333
 Ad Dammam ,26.41666667,50.1
 Jeddah ,21.53333333,39.16666667
 King Abdullah City ,22.4,39.08333333
 Yanbu al-Bahr ,24.08333333,38.03333333
 Bangkok ,13.75,100.5166667
 Laem Chabang ,13.08333333,100.8833333
 Phuket International Apt ,8.116666667,98.31666667
 Sahathai Coastal Seaport ,13.65,100.5333333
 Dili ,-8.55,125.5666667
 Nuku'alofa ,-21.13333333,-175.2
 Ambarli ,41.03333333,39.16666667
 Antalya ,36.83333333,30.6
 Bandirma ,40.35,27.96666667
 Eregli ,37.5,34.05
 Evyap Port \/Kocaeli ,40.76666667,29.7
 Gebze ,40.78333333,29.41666667
 Gemlik ,40.41666667,29.15
 Iskenderun ,36.58333333,36.16666667
 Izmir ,38.41666667,27.15
 Izmit ,40.78333333,29.95
 Kumport ,40.95,28.81666667
 Limas ,38.75,26.91666667
 Mardas ,41.01666667,28.95
 Mersin ,36.71666667,34.63333333
 Samsun ,41.28333333,36.33333333
 Tekirdag ,40.96666667,27.51666667
 Trabzon ,41,39.73333333
 Yilport ,40.76666667,29.53333333
 Taipei ,25.03333333,121.5166667
 Dar es Salaam ,-6.8,39.28333333
 Chornomorsk ,46.31666667,30.66666667
 Odesa ,46.5,30.75
 Yuzhnyi ,46.6,31.01666667
 Punta Pereyra ,-34.23333333,-58.06666667
 Palúa ,8.35,-62.66666667
 Cape Town ,-33.91666667,18.41666667
 Coega ,-33.76666667,25.66666667
 Durban ,-29.85,31.01666667
 Ajman ,25.40177,55.47878
 Jebel Ali ,25.00255,55.10811
 Durrës ,41.32355,19.45469
 Durrës ,41.32355,19.45469
 Cabinda ,-5.55,12.2
 Lobito ,-12.3644,13.53601
 Luanda ,-8.83682,13.23432
 Malongo ,-5.396406482,12.1980218
 Namibe ,-15.19611,12.15222
 Soyo ,-6.1349,12.36894
 Bridgetown ,13.10732,-59.62021
 Mongla ,22.47223,89.61095
 Burgas ,42.50606,27.46781
 Varna ,43.21667,27.91667
 Cotonou ,6.36536,2.41833
 Aitutaki ,-18.85195,-159.79293
 Rarotonga ,-21.2075,-159.77545
 Douala ,4.04827,9.70428
 Kribi ,2.93725,9.90765
 Moa ,20.65776,-74.95075
 Santiago de Cuba ,20.02083,-75.82667
 Palmeira ,16.75754,-22.98348
 Praia ,14.93152,-23.51254
 Sal Rei ,16.17611,-22.91722
 Djibouti ,11.58901,43.14503
 Roseau ,15.30174,-61.38808
 Boca Chica ,18.45,-69.6
 Puerto Plata ,19.79344,-70.6884
 Mostaganem ,35.93115,0.08918
 Oran ,35.69906,-0.63588
 El Dekheila ,31.13133,29.82126
 Port Said ,31.26531,32.3019
 Libreville ,0.39241,9.45356
 Port Gentil ,-0.71933,8.78151
 Saint George's ,12.05288,-61.75226
 Batumi ,41.64228,41.63392
 Poti ,42.14272,41.67384
 Takoradi ,4.89816,-1.76029
 Tema ,5.6698,-0.01657
 Banjul ,13.45274,-16.57803
 Conakry ,9.53795,-13.67729
 Bata ,1.86391,9.76582
 Malabo ,3.75578,8.78166
 Georgetown ,6.80448,-58.15527
 Banjarmasin ,-3.31987,114.59075
 Belawan Sumatra ,3.7755,98.6832
 Bitung Sulawesi ,1.44059,125.12824
 Gorontalo Sulawesi ,-0.8985,123.3908
 Kendari Sulawesi ,-3.9778,122.51507
 Luwuk ,-0.9516,122.7875
